Date,Day,Winner,Pts,Loser,Pts
10/19/2013,Sat,Toledo,45,Navy,44
10/19/2013,Sat,Utah State,45,New Mexico,10
10/19/2013,Sat,Vanderbilt,31,Georgia,27
10/19/2013,Sat,Wake Forest,34,Maryland,10
10/19/2013,Sat,Wisconsin,56,Illinois,32
10/22/2013,Tue,Louisiana,23,Arkansas State,7
10/24/2013,Thu,Middle Tennessee State,51,Marshall,49
10/24/2013,Thu,Mississippi State,28,Kentucky,22
10/25/2013,Fri,Brigham Young,37,Boise State,20
10/26/2013,Sat,Alabama,45,Tennessee,10
10/26/2013,Sat,Arizona,44,Colorado,20
10/26/2013,Sat,Auburn,45,Florida Atlantic,10
10/26/2013,Sat,Ball State,42,Akron,24
10/26/2013,Sat,Baylor,59,Kansas,14
10/26/2013,Sat,Buffalo,41,Kent State,21
10/26/2013,Sat,Central Florida,62,Connecticut,17
10/26/2013,Sat,Clemson,40,Maryland,27
10/26/2013,Sat,Colorado State,35,Hawaii,28
10/26/2013,Sat,Duke,13,Virginia Tech,10
10/26/2013,Sat,Florida State,49,North Carolina State,17
10/26/2013,Sat,Fresno State,35,San Diego State,28
10/26/2013,Sat,Georgia Tech,35,Virginia,25
10/26/2013,Sat,Houston,49,Rutgers,14
10/26/2013,Sat,Iowa,17,Northwestern,10
10/26/2013,Sat,Kansas State,35,West Virginia,12
10/26/2013,Sat,LSU,48,Furman,16
10/26/2013,Sat,Louisiana Tech,23,Florida International,7
10/26/2013,Sat,Louisiana-Monroe,38,Georgia State,10
10/26/2013,Sat,Louisville,34,South Florida,3
10/26/2013,Sat,Miami (Florida),24,Wake Forest,21
10/26/2013,Sat,Michigan State,42,Illinois,3
10/26/2013,Sat,Minnesota,34,Nebraska,23
10/26/2013,Sat,Mississippi,59,Idaho,14
10/26/2013,Sat,Navy,24,Pittsburgh,21
10/26/2013,Sat,Nevada-Las Vegas,27,Nevada,22
10/26/2013,Sat,New Mexico State,34,Abilene Christian,29
10/26/2013,Sat,North Carolina,34,Boston College,10
10/26/2013,Sat,North Texas,55,Southern Mississippi,14
10/26/2013,Sat,Northern Illinois,59,Eastern Michigan,20
10/26/2013,Sat,Notre Dame,45,Air Force,10
10/26/2013,Sat,Ohio,41,Miami (OH),16
10/26/2013,Sat,Ohio State,63,Penn State,14
10/26/2013,Sat,Oklahoma,38,Texas Tech,30
10/26/2013,Sat,Oklahoma State,58,Iowa State,27
